id;album_spotify_id;album_name;album_cover_art;album_release_date;release_date_precision;album_popularity;album_type;spotify_album_upc;spotify_album_ean;spotify_album_isrc;date_added_to_db;date_last_modified;musicbrainz_metadata_added;musicbrainz_id
1;up;Account;embrace;2024-03-03;DAY;65823;COMPILATION;National generate;pixel;global architect;2024-03-03;2024-03-03;true;orange
2;Global orange;Motorway;mobile Awesome;2024-03-03;YEAR;78335;COMPILATION;hub input Integration;framework redefine Cambridgeshire;Savings Chair;2024-03-03;2024-03-02;true;withdrawal
3;redundant Grass-roots Ergonomic;withdrawal deliverables Licensed;cyan Union optical;2024-03-03;DAY;47126;COMPILATION;blockchains pixel Incredible;Cotton bus services;virtual Borders;2024-03-02;2024-03-02;false;calculating Polarised Sausages
4;Multi-tiered incremental Factors;Rial methodologies Keyboard;Massachusetts;2024-03-03;DAY;7802;ALBUM;Cedi cohesive invoice;invoice;Plastic index;2024-03-03;2024-03-03;false;Pataca Dinar
5;mindshare;Salad protocol;Technician cross-platform;2024-03-03;MONTH;8002;COMPILATION;Locks Small;Common hacking;Loan Hawaii Data;2024-03-03;2024-03-02;true;Landing impactful
6;Account;ADP web-enabled Marketing;Visionary SMTP;2024-03-03;YEAR;29483;ALBUM;Generic Buckinghamshire Associate;orchid;incentivize;2024-03-03;2024-03-03;false;Table deposit Illinois
7;Nebraska;Accounts calculate hacking;Granite digital Handcrafted;2024-03-02;MONTH;9113;SINGLE;bleeding-edge Response;Awesome Kids;Steel Bedfordshire niches;2024-03-03;2024-03-03;false;payment coherent implement
8;Pants 1080p back-end;Metrics Technician;Small bandwidth;2024-03-03;MONTH;26218;COMPILATION;bypass overriding Cambridgeshire;deliver Gorgeous Networked;Chicken Lanka microchip;2024-03-03;2024-03-03;true;Associate panel Unions
9;Illinois;transmitter Supervisor;Manat Cross-platform Quality;2024-03-03;YEAR;52872;ALBUM;reboot;gold Cheese;Pennsylvania one-to-one Computer;2024-03-03;2024-03-03;true;Proactive viral dot-com
10;content B2C Samoa;Customer SCSI Clothing;Account connect;2024-03-03;YEAR;71165;SINGLE;Coordinator;ubiquitous Industrial Bedfordshire;1080p Pants;2024-03-03;2024-03-03;true;state
