id;song_spotify_id;song_title;song_duration;song_album_type;song_album_id;song_explicit;song_popularity;song_preview_url;song_track_features_added;song_acousticness;song_danceability;song_energy;song_instrumentalness;song_liveness;song_loudness;song_speechiness;song_tempo;song_valence;song_key;song_time_signature;song_date_added_to_db;song_date_last_modified;recording_mbid
1;synthesizing navigate Poland;bypassing Towels empowering;48031;ALBUM;parsing;false;60361;SMTP Handmade;false;51507;49006;21824;49554;74680;88069;16599;44010;25971;23707;89059;2024-03-03;2024-03-03;Specialist
2;Ergonomic;Taka deposit;9664;ALBUM;compressing Concrete reboot;true;49258;circuit Garden Berkshire;false;83410;13885;59430;14039;646;26332;98899;86362;84577;87934;45202;2024-03-02;2024-03-03;value-added
3;bluetooth Mozambique;Florida Chief;40034;COMPILATION;redefine;false;69229;transmitting;false;62656;46590;60021;33985;4632;27641;18108;67256;21565;46813;11125;2024-03-03;2024-03-03;gold multi-byte
4;Iowa Wooden New;viral Wisconsin infrastructures;33505;COMPILATION;driver Moroccan;true;33126;invoice application Somalia;false;52599;78255;5670;27154;20801;90006;89002;83870;18550;17636;28466;2024-03-02;2024-03-03;extensible Accounts
5;drive multimedia encompassing;Nakfa open-source Research;63495;ALBUM;Court Radial;false;29040;Pizza;true;48840;67331;83933;69389;2354;81960;78298;50696;50769;86980;36569;2024-03-03;2024-03-03;whiteboard Branding
6;South infomediaries;Colombia pink;46013;COMPILATION;rich;false;73218;Bypass Avon Account;false;23671;48454;98868;26046;45534;73670;50545;829;5972;43187;66744;2024-03-03;2024-03-03;Keyboard New
7;Implemented fault-tolerant;National logistical Keyboard;9366;SINGLE;Granite;true;91898;backing;true;42149;11806;82395;70030;98759;99220;72656;57396;40687;63420;25683;2024-03-03;2024-03-03;proactive Licensed
8;Assurance Tajikistan;Buckinghamshire world-class;53020;COMPILATION;Small XSS Functionality;false;66427;optical compelling payment;false;72821;49278;53234;35465;814;61490;41228;18421;79049;69814;65516;2024-03-03;2024-03-03;Berkshire
9;matrix Markets transparent;Iowa;21189;ALBUM;Loan GB;false;64882;e-enable Sudanese Configuration;true;9273;74721;27995;4245;80760;74099;62957;76718;33553;62451;16878;2024-03-03;2024-03-03;Cheese Berkshire turn-key
10;Bike Tasty invoice;AGP;8236;SINGLE;generation generating;true;59603;collaboration Berkshire;false;80864;29361;59763;4237;43349;33327;90029;3615;34015;56837;19177;2024-03-03;2024-03-03;Tools experiences global
