id;user_id;source_playlist_id;playlist_name;result_playlist_id;frequency;type;playlist_cover_url;playlist_snapshot_id;date_last_updated
1;14924;Indiana to;Intranet Creative;Hryvnia Forward;Multi-layered Borders;California Automated;Licensed JBOD;Cameroon Rupee;2024-04-22
2;91178;Money Money;integrated Territory Berkshire;actuating;innovative infrastructures District;Underpass;integrated;neural Handcrafted withdrawal;2024-04-22
3;11897;Nauru Wisconsin Small;Wooden;HDD XSS South;Configuration quantifying innovate;Granite Sports payment;Interactions Solutions;Communications Grass-roots maximized;2024-04-22
4;99886;Central Soft;Sports;Loan;Wooden;Shirt Serbia payment;Central;Architect Cameroon;2024-04-21
5;16246;Illinois;Avon aggregate;dynamic violet;Configuration;scalable parsing aggregate;optimal Rubber;override;2024-04-22
6;48615;Generic Villages;calculate web-enabled transmit;intermediate Customer Handmade;online Fresh analyzer;paradigms Health;Forward Investment Fords;local system Tunisia;2024-04-21
7;38658;Buckinghamshire Soft backing;Pizza pink solutions;multi-tasking Bedfordshire;web Generic;Monetary Mobility;Refined connecting core;override;2024-04-21
8;15160;Future challenge;Louisiana;Krone;SSL streamline payment;Steel;feed connect Kuwait;Afghani withdrawal;2024-04-22
9;36313;leading;Sleek Data Representative;intermediate RAM;Synchronised Generic Lari;functionalities;initiative transparent;yellow;2024-04-22
10;3132;payment Faroe;FTP Secured;optimal back-end;panel;infomediaries;Guyana Configurable navigate;Dynamic Down-sized cross-platform;2024-04-21
