id;recording_mbid;recording_title;song_main_artist_name;song_main_artist_id;song_contributor_mbid;song_contributor_name;song_contributor_role;song_contributor_instrument
1;reintermediate;Nevada online Specialist;Platinum Ford turn-key;49758;Brooks;Somalia Guernsey Director;Virginia Borders;mission-critical
2;Unions;attitude;Analyst parse;49628;Specialist Engineer;Silver Omani Sausages;Table Ford;Baby
3;Computer;e-tailers Hawaii open-source;solutions Licensed Automotive;99784;mint Soft program;efficient alliance;bypassing Metal withdrawal;Director payment green
4;Loan;Practical exuding Kuwaiti;Agent Rubber Borders;49680;UIC-Franc;Account;Money;Sleek
5;Division Granite;clear-thinking Metal;solution-oriented;62668;teal distributed purple;back-end synthesizing Sausages;virtual Human Handmade;rich moratorium
6;program Practical;Chair infomediaries;needs-based;12592;Route Republic;engage alarm;Web Zloty;Pants Computers digital
7;Slovenia fuchsia;Granite;Rubber compelling Lead;23251;even-keeled mindshare;management;Stand-alone;Dinar
8;iterate;Peso wireless;Directives Prairie;76531;Gorgeous;Supervisor Berkshire installation;deliverables;Uruguay blue website
9;SDD Table National;asynchronous Director;global;90643;transmitter;input seamless;Loan Generic green;Wooden Automotive
10;Bedfordshire Granite;Identity;online;35134;partnerships;content-based value-added Cambridgeshire;approach;back auxiliary redefine
