id;main_artist_sptfy_id;related_artist_spotify_id_1;related_artist_spotify_id_2;related_artist_spotify_id_3;related_artist_spotify_id_4;related_artist_spotify_id_5;related_artist_spotify_id_6;related_artist_spotify_id_7;related_artist_spotify_id_8;related_artist_spotify_id_9;related_artist_spotify_id_10;related_artist_spotify_id_11;related_artist_spotify_id_12;related_artist_spotify_id_13;related_artist_spotify_id_14;related_artist_spotify_id_15;related_artist_spotify_id_16;related_artist_spotify_id_17;related_artist_spotify_id_18;related_artist_spotify_id_19;related_artist_spotify_id_20
1;Nebraska;Granite Chicken Metal;interactive Plaza hack;Producer navigating models;Sleek bandwidth drive;circuit XSS orchestration;solid Texas Metal;methodologies;Account;bypassing;web-enabled;Pizza;Music SQL Buckinghamshire;Metical bluetooth Generic;integrated Phased;Health;Home tertiary Albania;Account application;B2B Agent;Park Concrete;Account up disintermediate
2;PNG;Tuna;Card Rica Officer;B2C;Fish Shoes feed;withdrawal;Bacon;Pants Internal;ability Avon;Alaska bus;disintermediate Kenyan Cross-group;deposit;redundant parsing;Ergonomic;content-based Card implement;Card Birr bypass;synergize redundant;Towels Pass;connect aggregate;1080p;Ergonomic index Account
3;Balanced Berkshire copying;Computers program copying;Borders;Fantastic Configuration;transform Sports;calculating Ball;evolve payment;Salvador Soap Synergistic;Licensed;Berkshire Underpass;invoice framework Buckinghamshire;Garden Sleek;Nebraska best-of-breed;Berkshire Jewelery;Officer Buckinghamshire;deposit;homogeneous integrate Kuna;RSS Computer;Orchestrator;Chicken invoice;strategize Loan Congolese
4;withdrawal;analyzer;Bahrain methodical;efficient indigo Small;mission-critical blockchains;Course empower Lodge;Sum e-business;Future Industrial Kazakhstan;scalable array;Gloves orchid Frozen;Union compressing;Health methodologies;Chicken Ergonomic synthesizing;Soap;Steel Ergonomic;Uruguayo connecting feed;French brand ADP;workforce;sky synergize Beauty;Legacy;West
5;users;robust Card Granite;revolutionary;Metal Toys;Security Massachusetts;Account Avon;Table indigo Planner;transmitting generation;Licensed;Cambridgeshire;optical gold;Shirt;pixel Armenian tertiary;Tuna;Cuba Specialist Metrics;1080p solutions;Health Frozen Intelligent;Missouri;ROI;Configurable PCI;SQL Wooden
6;Senior cross-media Investment;HDD monetize Concrete;Right-sized;driver Soft web-readiness;lime;product mint invoice;Frozen;Land California;metrics;communities Market;Intelligent;Berkshire Forward;Regional azure;Product architectures card;reboot vertical Implemented;black Principal;Accountability;Awesome indexing;Libyan Intuitive Ohio;Senior Account;mobile HTTP
7;conglomeration;Hollow Toys capacitor;aggregate programming;Administrator;calculate back-end Generic;Front-line;Intuitive;invoice Account Centralized;architecture;Liaison;green;multimedia front-end Rustic;Roads Savings;index Rustic;Rupiah Guatemala Applications;Rubber Sports;Music white;Rest Gorgeous Market;Bolivar Operations;HDD EXE;Branding silver
8;withdrawal Account generating;ivory invoice;demand-driven CFA mindshare;Central Fish payment;invoice;Account;olive Morocco paradigms;Awesome infrastructures collaboration;blockchains;Rupee initiatives;California;Pound Gloves;unleash;Pitcairn;Music;e-business object-oriented;software;copying next-generation Hat;TCP Cheese compress;multi-byte;Rubber Dynamic ADP
9;Dram;encryption;Rue white Implementation;metrics killer;Lane;Gloves Rapid;Customer Delaware Texas;Sausages invoice;Account hack;Extension Awesome experiences;Customer firewall Mandatory;Rial compress;Automotive;Reactive Crossing;transmitter Direct;blue Stand-alone hacking;Intelligent;extend Myanmar;Republic;Seychelles;customized Argentina
10;York up Mandatory;Dollar);Metal firewall;indexing open-source Refined;Salad Ethiopian primary;New extensible back-end;distributed;interactive;Mill Seychelles;purple Bedfordshire streamline;infrastructures Steel metrics;Chile transmitting Pizza;Progressive payment Valleys;indexing;streamline synergistic;Generic SDD Steel;Station;back-end;Cotton redundant;Bike Arizona;Utah Frozen
