id;artist_spotify_id;artist_name;artist_popularity;artist_image;artist_followers;date_added_to_db;date_last_modified
1;Peso driver;Birr Alaska evolve;92744;Wall;61623;2024-03-03;2024-03-03
2;Handmade 1080p back-end;Gardens;62894;zero Sleek;53995;2024-03-03;2024-03-02
3;Ball;algorithm Towels dynamic;28226;Public-key;6754;2024-03-03;2024-03-03
4;Cambridgeshire Planner Points;Fresh enhance Concrete;77118;Prairie invoice;55413;2024-03-03;2024-03-03
5;Station Solutions;Refined;58666;Configurable function deposit;92942;2024-03-03;2024-03-03
6;Oklahoma extend China;Mouse;73193;Web Steel;29630;2024-03-03;2024-03-03
7;generate;ADP emulation;18096;Industrial Shoes Islands;74694;2024-03-03;2024-03-03
8;Markets Concrete;Refined Gardens;68721;SDD bypass Uganda;50038;2024-03-03;2024-03-03
9;Account enterprise cross-media;Global;831;Stream Nebraska Avon;44691;2024-03-03;2024-03-03
10;microchip Auto Bedfordshire;base productivity maroon;44544;Arkansas input;69400;2024-03-03;2024-03-03
