id;name;role;instrument;musicbrainz_id
1;Ball National;SCSI;Netherlands;quantify digital panel
2;Bacon;Integrated withdrawal Loan;Fish User-centric;Computer Tennessee
3;matrix;cyan Quality one-to-one;navigating Music Cambridgeshire;flexibility pink
4;orchid payment Dynamic;Concrete deposit;full-range;Cotton Granite
5;Loan;Practical compress;Awesome;cohesive Paradigm Agent
6;embrace Table;Rial Incredible COM;Bhutanese multi-byte Electronics;heuristic
7;Arizona olive;Manat customized;value-added alarm;virtual dynamic approach
8;Directives Dakota SSL;Music azure;invoice;Future Keyboard Books
9;Orchestrator networks;JSON grey;Customer PNG Causeway;Australian program Metrics
10;embrace Specialist;Branding bleeding-edge;withdrawal Group;Frozen Toys
