id;artist_spotify_id;artist_name;artist_popularity;artist_image_small;artist_image_medium;artist_image_large;artist_followers;date_added_to_db;date_last_modified;musicbrainz_id
1;Peso driver;Birr Alaska evolve;92744;Wall;Borders Handmade;up Cheese Gardens;62894;2024-03-03;2024-03-03;Books Agent Island
2;Ball;algorithm Towels dynamic;28226;Public-key;bypass;Lead Investment;63952;2024-03-03;2024-03-03;quantifying
3;Executive;calculate withdrawal haptic;63044;interactive Unbranded Refined;compressing eco-centric;deposit Web;72585;2024-03-03;2024-03-03;extend
4;Table Mouse;Villages Wooden e-tailers;43310;generate;ADP emulation;Kwanza;56044;2024-03-03;2024-03-03;Islands back
5;Markets Concrete;Refined Gardens;68721;SDD bypass Uganda;parallelism Account;program Guarani;91454;2024-03-03;2024-03-03;indexing
6;Nebraska Avon Ford;microchip Auto Bedfordshire;94009;Texas;Manager Kuwaiti Arkansas;synthesize vortals Bedfordshire;52992;2024-03-03;2024-03-03;Home Steel
7;Avon Berkshire;transmit indexing;73130;schemas;visualize payment;projection deposit;81041;2024-03-03;2024-03-03;open Customer
8;Computer;Viaduct;69764;demand-driven;wireless;Chips content Platinum;72957;2024-03-03;2024-03-03;Table Paradigm
9;Account Branding;Avon;98941;mobile Ways;SMS collaborative IB;Fantastic global Dynamic;28963;2024-03-03;2024-03-03;Account Mauritius
10;Ergonomic Caicos Account;bandwidth Operations withdrawal;21601;Suriname back-end;compress;Bedfordshire groupware;38899;2024-03-03;2024-03-02;Loan Loan
